title_raw,title_native,region,archetype_id,sub_industry,level,normalized_title,function,notes
Chief Data Officer,Chief Data Officer,Global,any,,1,CDO,IT,
Chief AI Officer,Chief AI Officer,Global,any,,1,CAIO,IT,
Chief of Staff,Chief of Staff,Global,any,,3,Chief of Staff,Strategy,Reports to CEO/CXO; level depends on principal
Chief of Staff to the CEO,Chief of Staff to the CEO,Global,any,,3,Chief of Staff to CEO,Strategy,
Chief of Staff to the COO,Chief of Staff to the COO,Global,any,,4,Chief of Staff to COO,Operations,
Chief Investment Officer,Chief Investment Officer,Global,capital_markets,,1,CIO,Strategy,Asset Mgmt: Level 1; Insurance: Level 2
Chief Investment Officer,Chief Investment Officer,Global,insurance,,2,CIO Insurance,Strategy,
Chief Investment Officer,Chief Investment Officer,Global,asset_light_operations,,2,CIO REIT,Strategy,
Executive Vice President,Executive Vice President,USA,any,,2,EVP,Operations,
EVP,EVP,USA,any,,2,EVP,Operations,
Senior Vice President,Senior Vice President,USA,any,,2,SVP,Operations,
SVP,SVP,USA,any,,2,SVP,Operations,
Vice President,Vice President,USA,industrial_asset_heavy,,3,VP,Operations,
Vice President,Vice President,USA,consumer_brand_goods,,3,VP,Marketing,
Vice President,Vice President,USA,retail_hospitality,,3,VP,Operations,
Vice President,Vice President,USA,process_industries,,3,VP,Operations,
Vice President,Vice President,USA,insurance,,3,VP,Underwriting,
Vice President,Vice President,USA,software_telecom,,3,VP,Engineering,
Vice President,Vice President,USA,asset_light_operations,,3,VP,Operations,
VP,VP,USA,any,,3,VP,Operations,Default; archetype-specific rows below
Senior Director,Senior Director,USA,any,,4,Senior Director,Operations,
Sr. Director,Sr. Director,USA,any,,4,Senior Director,Operations,
Director,Director,USA,industrial_asset_heavy,,5,Director,Operations,
Director,Director,USA,process_industries,,5,Director,Operations,
Director,Director,USA,consumer_brand_goods,,5,Director,Marketing,
Director,Director,USA,software_telecom,,5,Director,Engineering,
Director,Director,USA,retail_hospitality,,5,Director,Operations,
Director,Director,USA,insurance,,5,Director,Underwriting,
Director,Director,USA,professional_it_services,,5,Director,Delivery,
Senior Manager,Senior Manager,USA,any,,6,Senior Manager,Operations,
Sr. Manager,Sr. Manager,USA,any,,6,Senior Manager,Operations,
Manager,Manager,USA,any,,7,Manager,Operations,
Team Lead,Team Lead,USA,any,,8,Team Lead,Operations,
Senior Analyst,Senior Analyst,USA,any,,9,Senior Analyst,Strategy,
Analyst,Analyst,USA,any,,10,Analyst,Strategy,
Associate,Associate,USA,any,,9,Associate,Strategy,Generic associate; IB associate is level 7
EVP,EVP,USA,banking,,2,EVP — Banking,Operations,
Group EVP,Group EVP,USA,banking,,2,Group EVP,Strategy,
SVP,SVP,USA,banking,,3,SVP — Banking,Operations,"In US banking SVP is below EVP, above VP"
Senior Vice President,Senior Vice President,USA,banking,,3,SVP — Banking,Operations,
VP,VP,USA,banking,,4,VP — Banking,Operations,US Banking: VP is 1 level below SVP
First Vice President,First Vice President,USA,banking,,4,First VP,Operations,
Assistant Vice President,Assistant Vice President,USA,banking,,5,AVP — Banking,Operations,
AVP,AVP,USA,banking,,5,AVP — Banking,Operations,
Branch Manager,Branch Manager,USA,banking,,7,Branch Manager,Retail Banking,
Relationship Manager,Relationship Manager,USA,banking,,7,Relationship Manager,Commercial Banking,
Senior Banker,Senior Banker,USA,banking,,6,Senior Banker,Retail Banking,
Personal Banker,Personal Banker,USA,banking,,9,Personal Banker,Retail Banking,
Teller,Teller,USA,banking,,10,Teller,Retail Banking,
Managing Director,Managing Director,USA,capital_markets,Investment Bank,3,MD — IB,Strategy,MD is the senior-leader rank in IB
MD,MD,USA,capital_markets,Investment Bank,3,MD — IB,Strategy,
Senior Managing Director,Senior Managing Director,USA,capital_markets,Investment Bank,2,Senior MD,Strategy,
Executive Director,Executive Director,USA,capital_markets,Investment Bank,4,ED — IB,Strategy,"Below MD, above Director in IB"
ED,ED,USA,capital_markets,Investment Bank,4,ED — IB,Strategy,
Director,Director,USA,capital_markets,Investment Bank,5,Director — IB,Strategy,
Principal,Principal,USA,capital_markets,Investment Bank,5,Principal — IB,Strategy,
Vice President,Vice President,USA,capital_markets,Investment Bank,6,VP — IB,Strategy,"VP in IB is MID-MANAGER, not senior leader"
VP,VP,USA,capital_markets,Investment Bank,6,VP — IB,Strategy,
Associate,Associate,USA,capital_markets,Investment Bank,7,Associate — IB,Strategy,
Senior Associate,Senior Associate,USA,capital_markets,Investment Bank,7,Senior Associate — IB,Strategy,
Senior Analyst,Senior Analyst,USA,capital_markets,Investment Bank,8,Senior Analyst — IB,Strategy,3rd-year IB analyst
Analyst,Analyst,USA,capital_markets,Investment Bank,9,Analyst — IB,Strategy,
Portfolio Manager,Portfolio Manager,USA,capital_markets,Asset Manager,5,Portfolio Manager,Strategy,
Senior Portfolio Manager,Senior Portfolio Manager,USA,capital_markets,Asset Manager,4,Senior Portfolio Manager,Strategy,
Quantitative Researcher,Quantitative Researcher,USA,capital_markets,Hedge Fund,7,Quant Researcher,Strategy,
Senior Quant,Senior Quant,USA,capital_markets,Hedge Fund,6,Senior Quant,Strategy,
Trader,Trader,USA,capital_markets,Investment Bank,7,Trader,Strategy,
Senior Trader,Senior Trader,USA,capital_markets,Investment Bank,5,Senior Trader,Strategy,
Equity Research Analyst,Equity Research Analyst,USA,capital_markets,Investment Bank,8,Equity Research Analyst,Strategy,
Senior Equity Analyst,Senior Equity Analyst,USA,capital_markets,Investment Bank,5,Senior Equity Analyst,Strategy,
Distinguished Engineer,Distinguished Engineer,USA,software_telecom,,3,Distinguished Engineer,Engineering,IC track — VP-equivalent
Fellow,Fellow,USA,software_telecom,,2,Fellow,Engineering,IC track — SVP-equivalent
Principal Engineer,Principal Engineer,USA,software_telecom,,4,Principal Engineer,Engineering,
Senior Staff Engineer,Senior Staff Engineer,USA,software_telecom,,5,Senior Staff Engineer,Engineering,
Staff Engineer,Staff Engineer,USA,software_telecom,,6,Staff Engineer,Engineering,
Senior Software Engineer,Senior Software Engineer,USA,software_telecom,,8,Senior Software Engineer,Engineering,
Software Engineer,Software Engineer,USA,software_telecom,,9,Software Engineer,Engineering,
Software Engineer II,Software Engineer II,USA,software_telecom,,9,Software Engineer II,Engineering,
Software Engineer I,Software Engineer I,USA,software_telecom,,10,Software Engineer I,Engineering,
Group Product Manager,Group Product Manager,USA,software_telecom,,4,Group PM,Strategy,
Principal Product Manager,Principal Product Manager,USA,software_telecom,,4,Principal PM,Strategy,
Senior Product Manager,Senior Product Manager,USA,software_telecom,,6,Senior PM,Strategy,
Product Manager,Product Manager,USA,software_telecom,,7,Product Manager,Strategy,
Associate Product Manager,Associate Product Manager,USA,software_telecom,,9,APM,Strategy,
Area Vice President,Area Vice President,USA,software_telecom,,4,Area VP,Sales,
Regional Vice President,Regional Vice President,USA,software_telecom,,4,Regional VP,Sales,
Account Executive,Account Executive,USA,software_telecom,,9,AE,Sales,
Senior Account Executive,Senior Account Executive,USA,software_telecom,,8,Senior AE,Sales,
Sales Development Representative,Sales Development Representative,USA,software_telecom,,10,SDR,Sales,
BDR,BDR,USA,software_telecom,,10,BDR,Sales,
Department Chair,Department Chair,USA,healthcare_delivery,,3,Department Chair,Operations,
Attending Physician,Attending Physician,USA,healthcare_delivery,,6,Attending,Operations,
Resident,Resident,USA,healthcare_delivery,,9,Resident,Operations,
Fellow,Fellow,USA,healthcare_delivery,,8,Medical Fellow,Operations,
Hospitalist,Hospitalist,USA,healthcare_delivery,,6,Hospitalist,Operations,
Medical Director,Medical Director,USA,healthcare_delivery,,5,Medical Director,Operations,
Charge Nurse,Charge Nurse,USA,healthcare_delivery,,8,Charge Nurse,Operations,
RN,RN,USA,healthcare_delivery,,10,Registered Nurse,Operations,
Managing Director,Managing Director,UK,any,,2,Managing Director,Strategy,UK MD = top-of-business / equivalent to US CEO of subsidiary
Director,Director,UK,industrial_asset_heavy,,1,Board Director,Strategy,UK 'Director' is statutory board position
Director,Director,UK,process_industries,,1,Board Director,Strategy,
Director,Director,UK,consumer_brand_goods,,1,Board Director,Strategy,
Director,Director,UK,retail_hospitality,,1,Board Director,Strategy,
Director,Director,UK,asset_light_operations,,1,Board Director,Strategy,
Non-Executive Director,Non-Executive Director,UK,any,,1,NED,Strategy,
Executive Director,Executive Director,UK,any,,2,Executive Director,Strategy,
Director,Director,UK,capital_markets,,4,Director — UK Banking,Strategy,UK IB: Director = below MD
Director,Director,UK,professional_it_services,,3,Director — UK Consulting,Delivery,Big-4 UK: Director = senior-mgr to partner-track
Director,Director,UK,public_sector_ngo,,3,Director — UK Civil Service,Strategy,
Senior Director,Senior Director,UK,any,,2,Senior Director,Operations,
Associate Director,Associate Director,UK,any,,4,Associate Director,Operations,
Senior Manager,Senior Manager,UK,any,,5,Senior Manager,Operations,
Manager,Manager,UK,any,,7,Manager,Operations,
Permanent Secretary,Permanent Secretary,UK,public_sector_ngo,,1,Permanent Secretary,Strategy,
Director General,Director General,UK,public_sector_ngo,,2,Director General,Strategy,
Deputy Director,Deputy Director,UK,public_sector_ngo,,4,Deputy Director,Strategy,
Vice-Chancellor,Vice-Chancellor,UK,public_sector_ngo,Higher Education,1,Vice-Chancellor,Strategy,
Pro-Vice-Chancellor,Pro-Vice-Chancellor,UK,public_sector_ngo,Higher Education,2,Pro-Vice-Chancellor,Strategy,
Consultant,Consultant,UK,healthcare_delivery,,5,Consultant Physician,Operations,UK 'Consultant' is senior physician
Registrar,Registrar,UK,healthcare_delivery,,8,Registrar,Operations,
Foundation Doctor,Foundation Doctor,UK,healthcare_delivery,,9,Foundation Doctor,Operations,
Active Underwriter,Active Underwriter,UK,insurance,Lloyd's Market,3,Active Underwriter,Underwriting,
Class Underwriter,Class Underwriter,UK,insurance,Lloyd's Market,4,Class Underwriter,Underwriting,
Whole-Time Director,Whole-Time Director,India,any,,2,Whole-Time Director,Strategy,Companies Act statutory designation
Executive Director,Executive Director,India,any,,2,Executive Director,Strategy,
Independent Director,Independent Director,India,any,,1,Independent Director,Strategy,
President,President,India,professional_it_services,,2,President — Practice,Strategy,
Chief Practice Officer,Chief Practice Officer,India,professional_it_services,,2,CPO Practice,Practice / Consulting,
EVP,EVP,India,professional_it_services,,2,EVP — IT Services,Delivery,
SVP,SVP,India,professional_it_services,,3,SVP — IT Services,Delivery,
VP,VP,India,professional_it_services,,3,VP — IT Services,Delivery,
AVP,AVP,India,professional_it_services,,4,AVP — IT Services,Delivery,India AVP = Senior Director equivalent
Senior Director,Senior Director,India,professional_it_services,,4,Senior Director,Delivery,
Director,Director,India,professional_it_services,,6,Director — India IT,Delivery,"India IT Director = mid-manager, NOT senior leader"
Senior Manager,Senior Manager,India,professional_it_services,,6,Senior Manager,Delivery,
Manager,Manager,India,professional_it_services,,7,Manager,Delivery,
Project Manager,Project Manager,India,professional_it_services,,7,Project Manager,Delivery,
Module Lead,Module Lead,India,professional_it_services,,8,Module Lead,Delivery,
Tech Lead,Tech Lead,India,professional_it_services,,8,Tech Lead,Delivery,
Senior Software Engineer,Senior Software Engineer,India,professional_it_services,,9,Senior SE,Engineering,
Software Engineer,Software Engineer,India,professional_it_services,,10,Software Engineer,Engineering,
Programmer Analyst,Programmer Analyst,India,professional_it_services,,10,Programmer Analyst,Engineering,
Trainee,Trainee,India,professional_it_services,,10,Trainee,Engineering,
Group Head,Group Head,India,banking,,3,Group Head,Operations,
Cluster Head,Cluster Head,India,banking,,4,Cluster Head,Retail Banking,
Branch Manager,Branch Manager,India,banking,,7,Branch Manager,Retail Banking,
AVP,AVP,India,banking,,5,AVP — Banking India,Operations,
Chief Manager,Chief Manager,India,banking,,6,Chief Manager,Operations,
DGM,DGM,India,banking,,6,DGM,Operations,
AGM,AGM,India,banking,,7,AGM,Operations,
AVP,AVP,India,industrial_asset_heavy,,4,AVP,Operations,
AVP,AVP,India,consumer_brand_goods,,4,AVP,Marketing,
GM,GM,India,industrial_asset_heavy,,4,General Manager,Operations,
DGM,DGM,India,industrial_asset_heavy,,6,DGM,Operations,
AGM,AGM,India,industrial_asset_heavy,,7,AGM,Operations,
Sr. GM,Sr. GM,India,industrial_asset_heavy,,3,Senior GM,Operations,
Senior General Manager,Senior General Manager,India,industrial_asset_heavy,,3,Senior GM,Operations,
Cabinet Secretary,Cabinet Secretary,India,public_sector_ngo,,1,Cabinet Secretary,Strategy,
Secretary to Government of India,Secretary to Government of India,India,public_sector_ngo,,2,Secretary GOI,Strategy,
Additional Secretary,Additional Secretary,India,public_sector_ngo,,3,Additional Secretary,Strategy,
Joint Secretary,Joint Secretary,India,public_sector_ngo,,4,Joint Secretary,Strategy,
Director,Director,India,public_sector_ngo,,5,Director — Civil Service,Strategy,"GoI Director, distinct from corporate Director"
Deputy Secretary,Deputy Secretary,India,public_sector_ngo,,6,Deputy Secretary,Strategy,
Under Secretary,Under Secretary,India,public_sector_ngo,,7,Under Secretary,Strategy,
IAS Officer,IAS Officer,India,public_sector_ngo,,5,IAS Officer,Strategy,Level varies by seniority
Vice-Chancellor,Vice-Chancellor,India,public_sector_ngo,Higher Education,1,Vice-Chancellor,Strategy,
Registrar,Registrar,India,public_sector_ngo,Higher Education,3,Registrar,Operations,
HOD,HOD,India,public_sector_ngo,Higher Education,4,Head of Department,Strategy,
Daihyō Torishimariyaku,代表取締役,Japan,any,,1,Representative Director / CEO,Strategy,
Daihyō Torishimariyaku Shachō,代表取締役社長,Japan,any,,1,President & Representative Director,Strategy,
Torishimariyaku,取締役,Japan,any,,2,Director (Board),Strategy,
Kansayaku,監査役,Japan,any,,2,Statutory Auditor,Strategy,
Shikkō Yakuin,執行役員,Japan,any,,3,Executive Officer,Operations,
Honbuchō,本部長,Japan,any,,4,Division General Manager,Operations,
Buchō,部長,Japan,any,,5,Department General Manager,Operations,
Jichō,次長,Japan,any,,6,Deputy GM,Operations,
Kachō,課長,Japan,any,,7,Section Manager,Operations,
Kakarichō,係長,Japan,any,,8,Sub-section Chief,Operations,
Shunin,主任,Japan,any,,9,Senior Staff,Operations,
Tenchō,店長,Japan,retail_hospitality,,7,Store Manager,Operations,
Kōjō-chō,工場長,Japan,industrial_asset_heavy,,4,Plant Manager,Manufacturing,
Kōjō-chō,工場長,Japan,process_industries,,4,Plant Manager,Operations,
Tōdori,頭取,Japan,banking,,1,Bank President / CEO,Strategy,Japanese banking specific
Fuku Tōdori,副頭取,Japan,banking,,2,Deputy Bank President,Strategy,
Vorstandsvorsitzender,Vorstandsvorsitzender,Germany,any,,1,CEO / Chairman of Board,Strategy,
Vorstand,Vorstand,Germany,any,,2,Management Board Member,Strategy,
Geschäftsführer,Geschäftsführer,Germany,any,,2,Managing Director / GmbH CEO,Strategy,
Aufsichtsratsvorsitzender,Aufsichtsratsvorsitzender,Germany,any,,1,Supervisory Board Chairman,Strategy,
Bereichsleiter,Bereichsleiter,Germany,industrial_asset_heavy,,4,Business Unit Head,Operations,
Bereichsleiter,Bereichsleiter,Germany,process_industries,,4,Business Unit Head,Operations,
Abteilungsleiter,Abteilungsleiter,Germany,any,,5,Department Head,Operations,
Werksleiter,Werksleiter,Germany,process_industries,,4,Plant Manager,Operations,
Werksleiter,Werksleiter,Germany,industrial_asset_heavy,,4,Plant Manager,Manufacturing,
Niederlassungsleiter,Niederlassungsleiter,Germany,asset_light_operations,,4,Branch Director,Operations,
Teamleiter,Teamleiter,Germany,any,,7,Team Lead,Operations,
Sachbearbeiter,Sachbearbeiter,Germany,any,,9,Specialist / Clerk,Operations,
Marketingleiter,Marketingleiter,Germany,consumer_brand_goods,,3,Marketing Director,Marketing,
Vertriebsleiter,Vertriebsleiter,Germany,any,,3,Sales Director,Sales,
Président-Directeur Général,Président-Directeur Général,France,any,,1,PDG / CEO,Strategy,
PDG,PDG,France,any,,1,PDG / CEO,Strategy,
Directeur Général,Directeur Général,France,any,,1,CEO,Strategy,
Directeur Général Délégué,Directeur Général Délégué,France,any,,2,Deputy CEO,Strategy,
Directeur Général Adjoint,Directeur Général Adjoint,France,any,,2,Deputy CEO,Strategy,
Directeur,Directeur,France,any,,4,Director,Operations,
Directeur Marketing,Directeur Marketing,France,consumer_brand_goods,,3,Marketing Director,Marketing,
Directeur Commercial,Directeur Commercial,France,any,,3,Sales Director,Sales,
Directeur Régional,Directeur Régional,France,retail_hospitality,,4,Regional Director,Operations,
Directeur d'usine,Directeur d'usine,France,industrial_asset_heavy,,4,Plant Director,Manufacturing,
Directeur d'usine,Directeur d'usine,France,process_industries,,4,Plant Director,Operations,
Chef de Service,Chef de Service,France,any,,6,Service Manager,Operations,
Responsable,Responsable,France,any,,7,Manager,Operations,
Cadre,Cadre,France,any,,8,Manager (Cadre status),Operations,
Zǒngcái,总裁,China,any,,1,President / CEO,Strategy,
Dǒngshìzhǎng,董事长,China,any,,1,Chairman of the Board,Strategy,
Fù Zǒngcái,副总裁,China,any,,3,Vice President,Strategy,
Zǒngjīnglǐ,总经理,China,any,,2,General Manager / GM,Operations,
Fù Zǒngjīnglǐ,副总经理,China,any,,3,Deputy GM,Operations,
Zǒngjiān,总监,China,any,,5,Director,Operations,
Jīnglǐ,经理,China,any,,7,Manager,Operations,
Zhǔrèn,主任,China,any,,7,Section Chief / Manager,Operations,
Zǔzhǎng,组长,China,any,,8,Group Leader,Operations,
Qūyù Jīnglǐ,区域经理,China,retail_hospitality,,6,Regional Manager,Operations,
Diànzhǎng,店长,China,retail_hospitality,,7,Store Manager,Operations,
Daepyo Isa,대표이사,South Korea,any,,1,Representative Director / CEO,Strategy,
Hoejang,회장,South Korea,any,,1,Chairman,Strategy,
Bu-hoejang,부회장,South Korea,any,,2,Vice Chairman,Strategy,
Sajang,사장,South Korea,any,,2,President,Strategy,
Bu-sajang,부사장,South Korea,any,,2,Vice President,Strategy,
Jeonmu,전무,South Korea,any,,3,Senior Managing Director,Operations,
Sangmu,상무,South Korea,any,,4,Managing Director,Operations,
Isa,이사,South Korea,any,,5,Director,Operations,
Bujang,부장,South Korea,any,,5,General Manager / Department Head,Operations,
Cha-jang,차장,South Korea,any,,6,Deputy GM,Operations,
Gwajang,과장,South Korea,any,,7,Section Chief,Operations,
Daeri,대리,South Korea,any,,9,Assistant Manager,Operations,
Sawon,사원,South Korea,any,,10,Staff,Operations,
Managing Director,Managing Director,Singapore,capital_markets,Investment Bank,3,MD — IB Singapore,Strategy,
Executive Director,Executive Director,Singapore,capital_markets,,4,ED — Singapore,Strategy,
Director,Director,Singapore,capital_markets,,5,Director — Singapore,Strategy,
Vice President,Vice President,Singapore,capital_markets,,6,VP — Singapore,Strategy,
Country Manager,Country Manager,Singapore,any,,3,Country Manager,Strategy,SEA standard for country head
Country Head,Country Head,Singapore,any,,3,Country Head,Strategy,
Country Director,Country Director,Singapore,any,,3,Country Director,Strategy,
Regional Director,Regional Director,Singapore,any,,4,Regional Director,Operations,
Country Manager,Country Manager,Indonesia,any,,3,Country Manager,Strategy,
Country Manager,Country Manager,Malaysia,any,,3,Country Manager,Strategy,
Country Manager,Country Manager,Thailand,any,,3,Country Manager,Strategy,
Country Manager,Country Manager,Vietnam,any,,3,Country Manager,Strategy,
Country Manager,Country Manager,Philippines,any,,3,Country Manager,Strategy,
Group CEO,Group CEO,GCC,any,,1,Group CEO,Strategy,
Deputy CEO,Deputy CEO,GCC,any,,2,Deputy CEO,Strategy,
Group Head,Group Head,GCC,banking,,3,Group Head,Operations,
Director General,Director General,GCC,public_sector_ngo,,2,Director General,Strategy,
Undersecretary,Undersecretary,GCC,public_sector_ngo,,3,Undersecretary,Strategy,
Director,Director,GCC,any,,4,Director — GCC,Operations,
Senior Manager,Senior Manager,GCC,any,,5,Senior Manager,Operations,
Mudir Aam,مدير عام,GCC,any,,2,General Manager,Operations,
Mudir,مدير,GCC,any,,5,Manager / Director,Operations,
Diretor Presidente,Diretor Presidente,Brazil,any,,1,CEO,Strategy,
Presidente,Presidente,Brazil,any,,1,President / CEO,Strategy,
Diretor Geral,Diretor Geral,Brazil,any,,1,CEO,Strategy,
Vice-Presidente,Vice-Presidente,Brazil,any,,2,VP,Strategy,
Diretor Executivo,Diretor Executivo,Brazil,any,,2,Executive Director,Strategy,
Diretor,Diretor,Brazil,any,,3,Director,Operations,
Superintendente,Superintendente,Brazil,any,,4,Senior Director,Operations,
Gerente Sênior,Gerente Sênior,Brazil,any,,6,Senior Manager,Operations,
Gerente,Gerente,Brazil,any,,7,Manager,Operations,
Coordenador,Coordenador,Brazil,any,,8,Coordinator / Lead,Operations,
Analista Sênior,Analista Sênior,Brazil,any,,9,Senior Analyst,Operations,
Analista,Analista,Brazil,any,,10,Analyst,Operations,
Director General,Director General,Mexico,any,,1,CEO,Strategy,
Director,Director,Mexico,any,,3,Director,Operations,
Gerente,Gerente,Mexico,any,,7,Manager,Operations,
Managing Director,Managing Director,Australia,any,,1,Managing Director,Strategy,
Group General Manager,Group General Manager,Australia,any,,3,Group GM,Operations,
General Manager,General Manager,Australia,any,,3,General Manager,Operations,AU GM is often a senior C-1 role
Executive General Manager,Executive General Manager,Australia,any,,2,Executive GM,Operations,
Head of [function],Head of [function],Australia,any,,4,Head of [function],Operations,
Senior Manager,Senior Manager,Australia,any,,6,Senior Manager,Operations,
Staff Specialist,Staff Specialist,Australia,healthcare_delivery,,5,Staff Specialist,Operations,
Resident Medical Officer,Resident Medical Officer,Australia,healthcare_delivery,,9,RMO,Operations,
Vice-President,Vice-President,Canada,any,,3,VP,Operations,
Vice-President,Vice-President,Canada,banking,,4,VP — Canadian Banking,Operations,Big-5 Canadian Banks: VP below SVP
Senior Vice-President,Senior Vice-President,Canada,banking,,3,SVP — Canadian Banking,Operations,
Group Head,Group Head,Canada,banking,,2,Group Head,Operations,Canadian Big-5 Bank: very senior
Executive Vice-President,Executive Vice-President,Canada,banking,,2,EVP — Canadian Banking,Operations,
Secretary-General,Secretary-General,UN,public_sector_ngo,,1,UN SG,Strategy,
Deputy Secretary-General,Deputy Secretary-General,UN,public_sector_ngo,,1,UN DSG,Strategy,
Under-Secretary-General,Under-Secretary-General,UN,public_sector_ngo,,2,USG,Strategy,
Assistant Secretary-General,Assistant Secretary-General,UN,public_sector_ngo,,3,ASG,Strategy,
D-2,D-2,UN,public_sector_ngo,,3,D-2 Director,Strategy,
D-1,D-1,UN,public_sector_ngo,,4,D-1 Director,Strategy,
P-5,P-5,UN,public_sector_ngo,,5,P-5 Senior Officer,Strategy,
P-4,P-4,UN,public_sector_ngo,,6,P-4 Officer,Strategy,
P-3,P-3,UN,public_sector_ngo,,7,P-3 Officer,Strategy,
P-2,P-2,UN,public_sector_ngo,,8,P-2 Officer,Strategy,
Director-General,Director-General,EU,public_sector_ngo,,2,EU Director-General,Strategy,
Director,Director,EU,public_sector_ngo,,3,EU Director,Strategy,
Head of Unit,Head of Unit,EU,public_sector_ngo,,5,EU Head of Unit,Strategy,
Policy Officer,Policy Officer,EU,public_sector_ngo,,7,EU Policy Officer,Strategy,
Executive Director,Executive Director,Global,public_sector_ngo,NGO,1,Executive Director (NGO),Strategy,"In NGO, Executive Director = CEO"
Country Director,Country Director,Global,public_sector_ngo,NGO,3,Country Director,Programs,
Program Director,Program Director,Global,public_sector_ngo,NGO,4,Program Director,Programs,
Program Manager,Program Manager,Global,public_sector_ngo,NGO,6,Program Manager,Programs,
Program Officer,Program Officer,Global,public_sector_ngo,NGO,7,Program Officer,Programs,
Major Gifts Officer,Major Gifts Officer,Global,public_sector_ngo,NGO,7,Major Gifts Officer,Programs,
Senior Partner,Senior Partner,USA,professional_it_services,Strategy Consulting,1,Senior Partner,Practice / Consulting,
Managing Partner,Managing Partner,USA,professional_it_services,Strategy Consulting,1,Managing Partner,Practice / Consulting,
Partner,Partner,USA,professional_it_services,Strategy Consulting,2,Partner,Practice / Consulting,
Principal,Principal,USA,professional_it_services,Strategy Consulting,3,Principal,Practice / Consulting,
Associate Partner,Associate Partner,USA,professional_it_services,Big-4 Consulting,3,Associate Partner,Practice / Consulting,
Engagement Manager,Engagement Manager,USA,professional_it_services,Strategy Consulting,5,Engagement Manager,Practice / Consulting,
Senior Manager,Senior Manager,USA,professional_it_services,Big-4 Consulting,5,Senior Manager — Big-4,Practice / Consulting,
Manager,Manager,USA,professional_it_services,Strategy Consulting,7,Manager — Consulting,Practice / Consulting,
Senior Consultant,Senior Consultant,USA,professional_it_services,Strategy Consulting,8,Senior Consultant,Practice / Consulting,
Consultant,Consultant,USA,professional_it_services,Strategy Consulting,9,Consultant,Practice / Consulting,
Business Analyst,Business Analyst,USA,professional_it_services,Strategy Consulting,10,Business Analyst,Practice / Consulting,
Associate,Associate,USA,professional_it_services,Strategy Consulting,9,Associate — Consulting,Practice / Consulting,
Country Manager,Country Manager,Global,any,,3,Country Manager,Strategy,Global default — Country head reports into global function head.
Country Head,Country Head,Global,any,,3,Country Head,Strategy,
Country Director,Country Director,Global,any,,3,Country Director,Strategy,
Managing Director,Managing Director,Global,any,,2,Managing Director,Strategy,
Country Manager India,Country Manager India,Global,any,,3,Country Manager — India,Strategy,Country head with explicit geo suffix.
Country Manager USA,Country Manager USA,Global,any,,3,Country Manager — USA,Strategy,Country head with explicit geo suffix.
Country Manager UK,Country Manager UK,Global,any,,3,Country Manager — UK,Strategy,Country head with explicit geo suffix.
Country Manager Germany,Country Manager Germany,Global,any,,3,Country Manager — Germany,Strategy,Country head with explicit geo suffix.
Country Manager France,Country Manager France,Global,any,,3,Country Manager — France,Strategy,Country head with explicit geo suffix.
Country Manager Japan,Country Manager Japan,Global,any,,3,Country Manager — Japan,Strategy,Country head with explicit geo suffix.
